Namespace                                                State
Microsoft.HealthcareInterop                              NotRegistered
Microsoft.HealthDataAIServices                           NotRegistered
Microsoft.HealthModel                                    NotRegistered
Microsoft.HealthPlatform                                 NotRegistered
Microsoft.HybridCloud                                    NotRegistered
Microsoft.HybridCompute                                  NotRegistered
Microsoft.HybridConnectivity                             NotRegistered
Microsoft.HybridContainerService                         NotRegistered
Microsoft.HybridNetwork                                  NotRegistered
Microsoft.Impact                                         NotRegistered
Microsoft.IntegrationSpaces                              NotRegistered
Microsoft.IoTCentral                                     NotRegistered
Microsoft.IoTFirmwareDefense                             NotRegistered
Microsoft.IoTOperations                                  NotRegistered
Microsoft.IoTOperationsDataProcessor                     NotRegistered
Microsoft.IoTSecurity                                    NotRegistered
Microsoft.Kubernetes                                     NotRegistered
Microsoft.KubernetesConfiguration                        NotRegistered
Microsoft.KubernetesRuntime                              NotRegistered
Microsoft.Kusto                                          NotRegistered
Microsoft.LabServices                                    NotRegistered
Microsoft.LoadTestService                                NotRegistered
Microsoft.Logic                                          NotRegistered
Microsoft.Maintenance                                    NotRegistered
Microsoft.ManagedNetworkFabric                           NotRegistered
Microsoft.ManagedServices                                NotRegistered
Microsoft.Management                                     NotRegistered
Microsoft.Maps                                           NotRegistered
Microsoft.Marketplace                                    NotRegistered
Microsoft.MessagingCatalog                               NotRegistered
Microsoft.MessagingConnectors                            NotRegistered
Microsoft.Migrate                                        NotRegistered
Microsoft.Mission                                        NotRegistered
Microsoft.MixedReality                                   NotRegistered
Microsoft.MobileNetwork                                  NotRegistered
Microsoft.Monitor                                        NotRegistered
Microsoft.MySQLDiscovery                                 NotRegistered
Microsoft.NetApp                                         NotRegistered
Microsoft.NetworkCloud                                   NotRegistered
Microsoft.NetworkFunction                                NotRegistered
Microsoft.NexusIdentity                                  NotRegistered
Microsoft.NotificationHubs                               NotRegistered
Microsoft.Nutanix                                        NotRegistered
Microsoft.ObjectStore                                    NotRegistered
Microsoft.OffAzure                                       NotRegistered
Microsoft.OffAzureSpringBoot                             NotRegistered
Microsoft.OnlineExperimentation                          NotRegistered
Microsoft.OpenEnergyPlatform                             NotRegistered
Microsoft.OperationsManagement                           NotRegistered
Microsoft.OperatorVoicemail                              NotRegistered
Microsoft.OracleDiscovery                                NotRegistered
Microsoft.Orbital                                        NotRegistered
Microsoft.PartnerManagedConsumerRecurrence               NotRegistered
Microsoft.Peering                                        NotRegistered
Microsoft.Pki                                            NotRegistered
Microsoft.PolicyInsights                                 NotRegistered
Microsoft.PowerBI                                        NotRegistered
Microsoft.PowerBIDedicated                               NotRegistered
Microsoft.PowerPlatform                                  NotRegistered
Microsoft.Premonition                                    NotRegistered
Microsoft.ProfessionalService                            NotRegistered
Microsoft.ProviderHub                                    NotRegistered
Microsoft.Purview                                        NotRegistered
Microsoft.Quantum                                        NotRegistered
Microsoft.Quota                                          NotRegistered
Microsoft.RecommendationsService                         NotRegistered
Microsoft.RecoveryServices                               NotRegistered
Microsoft.RedHatOpenShift                                NotRegistered
Microsoft.Relationships                                  NotRegistered
Microsoft.ResourceConnector                              NotRegistered
Microsoft.SaaS                                           NotRegistered
Microsoft.SaaSHub                                        NotRegistered
Microsoft.Scom                                           NotRegistered
Microsoft.SCVMM                                          NotRegistered
Microsoft.Search                                         NotRegistered
Microsoft.SecretSyncController                           NotRegistered
Microsoft.Security                                       NotRegistered
Microsoft.SecurityCopilot                                NotRegistered
Microsoft.SecurityDetonation                             NotRegistered
Microsoft.SecurityInsights                               NotRegistered
